institute,field,why,expectations,level,advice,rating_value
בן גוריון,הנדסת תעשייה וניהול,מתוך עניין,תחומי עניין רבים בתואר. לפעמים חוסר הפרדה בין עיקר לטפל,סהכ מעניין קשה וטוב,ללמוד עם חברים למבחנים.,7
בן גוריון,הנדסת תעשייה וניהול,"רציתי ללמוד מערכות מידע אך לבסוף במקום להתמקד בתחום אחד שהוא נטו תכנות החלטתי ללכת לכיוון של תעשייה וניהול בהתמחות מערכות מידע. בנוסף, התואר יוכל לפתוח לי אופציות רבות יותר לקרירה בהמשך.","התואר עצמו (התעודה) ענה על הציפיות שלי מההיבט של תחום נרחב, לימודים שנוגעים מעט בכל תחום ויכולים לתת לי את האפשרות לבחור תחום עבודה בהמשך. לא הייתי מרוצה מהלימודים בפועל שהיו נטו מירוץ והתשה אחר לימוד תכנות (ולא מששנה באיזה קורס), נתינת עבודות (ושברובה כללה ניסוח מחדש של רפרנסים קיימים) ללא מחשבה מאחור, לא ניתנו לנו כלים יישומיים אלא רק למידה מאוד תאורטית שברובה כבר לא רלוונטית לשוק התעסוקה כיום.",בסופו של דבר התואר נחשב בשוק העבודה בגלל השם של המוסד והמחלקה אבל חבל שלא יוצאים עם כלים מעשיים או ידע מתאים.,"אם אתם לא נעולים על תחום ספציפי לכו ללמוד תעו""ן - תוכלו להמשיך עם התואר לכל תחום (החל ממשאבי אנוש, כלכלה, ייצור ועד מערכות מידע ואיכות)",3
בן גוריון,הנדסת תעשייה וניהול,מכיוון שזה מסלול נרחב וכללי אשר מאפשר בסיומו להתמחות בתחומים רבים ומגוונים ולא מקבע למקצוע ספציפי.,"כפי שציינתי לומדים הרבה תחומים ולא מתמקצעים באף אחד ולי אישית, זה היה חסר. ההתמקצעות הייתה חסרה.","תואר מגוון, אך נדרש רענון בסילבוס של הקורסים, כך שיהיה יותר תואם לדרישות התעשייה. להכניס דברים חדשניים יותר ולהוציא את כל הקורסים שאין בהם יתרון למהנדס תעישה וניהול- בתעשייה כגון- מכונות וכו'.","להסתכל על המקצועות הרווחים במשק שממלאים מהנדסי תעו""ן ולראות האם אתה רואה את עצמך עובד באחד מהמקצועות הללו",6
בן גוריון,הנדסת תעשייה וניהול,"עניין, מידע רוחבי",מעולה,מספק מידע רחב אולי יותר מדי. עדיף לצמצם אולי את המגוון (כמו שפות תכנות) וללמוד יותר לעומק. חסרה המשכיות בין קורסים,אין כזה דבר יותר מדי אלכוהול,8
בן גוריון,הנדסת תעשייה וניהול,עבדתי בתפקיד דומה בצבא.,התחומים שנלמדו מאוד מעניינים עבורי,"התואר מאוד מעניין, נחשב מאוד בשוק ופותח הרבה דלתות לעבודות בהמשך.","אל תתייאשו מהמטלות הרבות שניתנות במהלך התואר, זה שווה את זה בסוף כי רוכשים ניסיון רלוונטי.",8
בן גוריון,הנדסת תעשייה וניהול,תואר שייתן את מרב הכלים על מנת להיות עצמאי בעתיד. כמו כן גמיש מאד וממנו אפשר להתפתח לתחומים שונים,"לומדים המון דברים לרוחב, חסר ההתמקצעות לעומק בתחום מסוים לא נותן לך יתרון משמעותי בשוק","התואר עצמו לא קשה בצורה משמעותית, אך מספיק מורכב ועמוס בעבודות, מה שדיי מדמה המקצת את מצב השוק.","בסוף כולם מוצאים עבודה, תהנו מהחוויה ותלמדו בכיף",9
בן גוריון,הנדסת תעשייה וניהול,התמקצעות בתחום עבודתי ופתיחת אפשרויות לתפקידי ניהול,נתן כלים לניהול והרחיב את הידע בתחום הניהול והתעשייה,"תואר איכותי, ממקצע, פרקטי",תשקיעו זה משתלם לכל החיים,9
בן גוריון,הנדסת תעשייה וניהול,לא ידעתי מה ללמוד וזה היה נראה כמו תואר כללי ופרקטי,"התואר כולל המון תכנות, לא ציפיתי שזה מה שיהיה",בסופו של דבר זה תואר פרקטי ורחב,"תואר פרקטי שיש ביקוש אליו, אך אינו מתמקד או מתמקצע במשהו ספציפי
יכול להתאים למי שלא בטוח מה הוא רוצה, ומתעניין בניהול, מערכות מידע ותעשייה",7
בן גוריון,הנדסת תעשייה וניהול,כיון שהוא מאפשר אופציות תעסוקה רבות לאחר סיום התואר,חסרה קצת התמחות,"סה""כ בסדר",לבדוק את כל האופציות לפני שבוחרים,7
בן גוריון,הנדסת תעשייה וניהול,"מעניין, אני אוהב מדעים מדויקים, נותן ראייה רחבה על כלל תהליכים","כן, הוא כלל תחומים רבים ונתן לי את האפשרות לבחור את הדבר שאני הכי אוהב.",כולל תחומים רבים.,לחשוב טוב מה אתם אוהבים. ללמוד במקום שהחיי חברה הם חלק בלתי נפרד מהלימודים. יופי של תואר מומלץ ביותר,10
בן גוריון,הנדסת תעשייה וניהול,"אופציות תעסוקה מגוונות, מתאים לאופי שלי, מעניין, ריאלי","הלימודים מעט פחות מעניינים ממה שחשבתי שיהיו, עם זאת החברה שמצאתי עלתה על כל ציפיותי",לא הייתי מחליפה אותו בשום תואר אחר. בסופו של דבר מאוד נהנתי ורכשתי כלים חשובים שאני מקווה שיעזרו לי להגיע בעתיד לאן שארצה.,"לנסות להבין שלימודים בב""ש הם חוויה נהדרת ושיש לנצל אותה עד תום. חברים ללימודים הם הדבר החשוב ביותר שתמצא במהלך התואר, מצא דרך לשלב בין לימודים והנאה",8
בן גוריון,הנדסת תעשייה וניהול,"לא ידעתי מה אני רוצה ללמוד. החלטתי על המסלול ""הרציני"" הכללי ביותר.",מהנדס תעשיה וניהול יכול לעשות כמעט הכל.,לדעתי בוגרי בן גוריון מוצלחים משמעותית מאלו של תל אביב או הטכניון. קל וחומר מול בוגרי המכללות..,תשמרו על ראש פתוח. קחו בחשבון שאתם לומדים כדי לקבל נייר שאומר שאתם כנראה לא מטומטמים. זה הכל.,8
בן גוריון,הנדסת תעשייה וניהול,"חברים שלומדים גם והמליצו
בירור באינטרנט על התואר","למדתי המון,יש הרבה אופציות לתעסוקה",תואר רחב מאוד .טועמים מהכל וזה מה שטוב בו,"שיבואו ,אחלה תואר",8
